session_index,label
0,benign
1,benign
2,benign
3,benign
4,benign
5,benign
6,benign
7,benign
8,benign
9,benign
10,benign
11,benign
12,benign
13,benign
14,benign
15,benign
16,benign
17,benign
18,benign
19,benign
20,benign
21,benign
22,benign
23,benign
24,benign
25,benign
26,benign
27,benign
28,benign
29,benign
30,benign
31,benign
32,benign
33,benign
34,benign
35,benign
36,benign
37,benign
38,benign
39,benign
40,benign
41,benign
42,benign
43,benign
44,benign
45,benign
46,benign
47,benign
48,benign
49,benign
50,benign
51,benign
52,benign
53,benign
54,benign
55,benign
56,benign
57,benign
58,benign
59,benign
60,benign
61,benign
62,benign
63,benign
64,benign
65,benign
66,benign
67,benign
68,benign
69,benign
70,benign
71,benign
72,benign
73,benign
74,benign
75,benign
76,benign
77,benign
78,benign
79,benign
80,benign
81,benign
82,benign
83,benign
84,benign
85,benign
86,benign
87,benign
88,benign
89,benign
90,benign
91,benign
92,benign
93,benign
94,benign
95,benign
96,benign
97,benign
98,benign
99,benign
100,benign
101,benign
102,benign
103,benign
104,benign
105,benign
106,benign
107,benign
108,benign
109,benign
110,benign
111,benign
112,benign
113,benign
114,benign
115,benign
116,benign
117,benign
118,benign
119,benign
120,benign
121,benign
122,benign
123,benign
124,benign
125,benign
126,benign
127,benign
128,benign
129,benign
130,benign
131,benign
132,benign
133,benign
134,benign
135,benign
136,benign
137,benign
138,benign
139,benign
140,benign
141,benign
142,benign
143,benign
144,benign
145,benign
146,benign
147,benign
148,benign
149,benign
150,benign
151,benign
152,benign
153,benign
154,benign
155,benign
156,benign
157,benign
158,benign
159,benign
160,benign
161,benign
162,benign
163,benign
164,benign
165,benign
166,benign
167,benign
168,benign
169,benign
170,benign
171,benign
172,benign
173,benign
174,benign
175,benign
176,benign
177,benign
178,benign
179,benign
180,benign
181,benign
182,benign
183,benign
184,benign
185,benign
186,benign
187,benign
188,benign
189,benign
190,benign
191,benign
192,benign
193,benign
194,benign
195,benign
196,benign
197,benign
198,benign
199,benign
200,benign
201,benign
202,benign
203,benign
204,benign
205,benign
206,benign
207,benign
208,benign
209,benign
210,benign
211,benign
212,benign
213,benign
214,benign
215,benign
216,benign
217,benign
218,benign
219,benign
220,benign
221,benign
222,benign
223,benign
224,benign
225,benign
226,forkbomb
227,forkbomb
228,forkbomb
229,forkbomb
230,forkbomb
231,forkbomb
232,forkbomb
233,forkbomb
234,forkbomb
235,forkbomb
236,forkbomb
237,forkbomb
238,forkbomb
239,forkbomb
240,forkbomb
241,forkbomb
242,forkbomb
243,forkbomb
244,forkbomb
245,forkbomb
246,forkbomb
247,forkbomb
